aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,seed,distance_from_true_value,asr
median,scaling,0,8,3,3,0.3636,1,0.29222682,0.00034091904
median,scaling,0,8,4,3,0.4167,1,0.35847312,0.00041820365
median,alie,0,8,1,3,0.2222,1,0.10194223,1.1164429
median,alie,0,8,2,3,0.3,1,0.09485494,1.038825
median,alie,0,8,3,3,0.3636,1,0.13356476,0.94573444
median,alie,0,8,4,3,0.4167,1,0.13732767,0.9723786
faba,gaussian,0,8,1,3,0.2222,1,0.09130984,0.001014159
faba,gaussian,0,8,2,3,0.3,1,0.053973462,0.0010620964
faba,gaussian,0,8,3,3,0.3636,1,0.09130984,0.0027658422
faba,gaussian,0,8,4,3,0.4167,1,0.053973462,0.003375574
faba,sign_flipping,0,8,1,3,0.2222,1,0.09130984,0.008582634
faba,sign_flipping,0,8,2,3,0.3,1,0.053973462,0.0050732153
faba,sign_flipping,0,8,3,3,0.3636,1,0.09130984,0.008582634
faba,sign_flipping,0,8,4,3,0.4167,1,0.053973462,0.0050732153
faba,scaling,0,8,1,3,0.2222,1,0.09130984,0.00010652433
faba,scaling,0,8,2,3,0.3,1,0.053973462,6.2966785e-05
faba,scaling,0,8,3,3,0.3636,1,0.09130984,0.00010652432
faba,scaling,0,8,4,3,0.4167,1,0.053973462,6.2966785e-05
faba,alie,0,8,1,3,0.2222,1,0.042656265,0.46715957
faba,alie,0,8,2,3,0.3,1,0.09217176,1.0094395
faba,alie,0,8,3,3,0.3636,1,0.12399008,0.87793887
faba,alie,0,8,4,3,0.4167,1,0.15662418,1.1090118
bulyan,gaussian,0,8,1,3,0.2222,1,0.053039122,0.00058909424
bulyan,gaussian,0,8,2,3,0.3,1,0.06543073,0.001287554
bulyan,gaussian,0,8,3,3,0.3636,1,0.0946161,0.0028659913
bulyan,gaussian,0,8,4,3,0.4167,1,0.11931351,0.0074620293
bulyan,sign_flipping,0,8,1,3,0.2222,1,0.053039122,0.004985392
bulyan,sign_flipping,0,8,2,3,0.3,1,0.06543073,0.0061501367
bulyan,sign_flipping,0,8,3,3,0.3636,1,0.0946161,0.008893405
bulyan,sign_flipping,0,8,4,3,0.4167,1,0.11931351,0.011214828
bulyan,scaling,0,8,1,3,0.2222,1,0.053039122,6.187676e-05
bulyan,scaling,0,8,2,3,0.3,1,0.06543073,7.633312e-05
bulyan,scaling,0,8,3,3,0.3636,1,0.0946161,0.00011038149
bulyan,scaling,0,8,4,3,0.4167,1,0.11931351,0.0001391941
bulyan,alie,0,8,1,3,0.2222,1,0.10615249,1.1625526
bulyan,alie,0,8,2,3,0.3,1,0.09485494,1.038825
bulyan,alie,0,8,3,3,0.3636,1,0.12960082,0.917667
bulyan,alie,0,8,4,3,0.4167,1,0.1412286,1.0
geometric_median,gaussian,0,8,1,3,0.2222,1,0.101422854,0.0011264822
geometric_median,gaussian,0,8,2,3,0.3,1,0.082569845,0.0016248197
geometric_median,gaussian,0,8,3,3,0.3636,1,0.13679837,0.0041437233
geometric_median,gaussian,0,8,4,3,0.4167,1,0.121244736,0.007582811
geometric_median,sign_flipping,0,8,1,3,0.2222,1,0.078918785,0.0074179415
geometric_median,sign_flipping,0,8,2,3,0.3,1,0.14272662,0.013415534
geometric_median,sign_flipping,0,8,3,3,0.3636,1,0.22831716,0.021460585
geometric_median,sign_flipping,0,8,4,3,0.4167,1,0.28517294,0.026804723
