aggregator,shift,seed,client_group,client_index,leave_one_out_influence
fedavg,0.0,16,majority,5,0.037104275
fedavg,0.0,16,minority,0,0.10260978
fedavg,0.0,16,minority,1,0.054570388
fedavg,0.0,17,majority,0,0.04884314
fedavg,0.0,17,majority,1,0.10440914
fedavg,0.0,17,majority,2,0.0727918
fedavg,0.0,17,majority,3,0.0803196
fedavg,0.0,17,majority,4,0.052429814
fedavg,0.0,17,majority,5,0.09399516
fedavg,0.0,17,minority,0,0.063230515
fedavg,0.0,17,minority,1,0.039457444
fedavg,0.0,18,majority,0,0.07055964
fedavg,0.0,18,majority,1,0.05670618
fedavg,0.0,18,majority,2,0.090888
fedavg,0.0,18,majority,3,0.047309835
fedavg,0.0,18,majority,4,0.023186378
fedavg,0.0,18,majority,5,0.020945868
fedavg,0.0,18,minority,0,0.024270264
fedavg,0.0,18,minority,1,0.059715882
fedavg,0.0,19,majority,0,0.101361394
fedavg,0.0,19,majority,1,0.054424085
fedavg,0.0,19,majority,2,0.034481853
fedavg,0.0,19,majority,3,0.083134905
fedavg,0.0,19,majority,4,0.02728125
fedavg,0.0,19,majority,5,0.07149739
fedavg,0.0,19,minority,0,0.061709408
fedavg,0.0,19,minority,1,0.07838012
fedavg,0.0,20,majority,0,0.08142286
fedavg,0.0,20,majority,1,0.05233324
fedavg,0.0,20,majority,2,0.0635259
fedavg,0.0,20,majority,3,0.03291211
fedavg,0.0,20,majority,4,0.052631296
fedavg,0.0,20,majority,5,0.0257073
fedavg,0.0,20,minority,0,0.08653609
fedavg,0.0,20,minority,1,0.023191506
fedavg,0.5,1,majority,0,0.05791471
fedavg,0.5,1,majority,1,0.10642633
fedavg,0.5,1,majority,2,0.02411417
fedavg,0.5,1,majority,3,0.05655812
fedavg,0.5,1,majority,4,0.0797687
fedavg,0.5,1,majority,5,0.072048075
fedavg,0.5,1,minority,0,0.11209556
fedavg,0.5,1,minority,1,0.115247935
fedavg,0.5,2,majority,0,0.110899925
fedavg,0.5,2,majority,1,0.04833762
fedavg,0.5,2,majority,2,0.063947834
fedavg,0.5,2,majority,3,0.061396062
fedavg,0.5,2,majority,4,0.02297028
fedavg,0.5,2,majority,5,0.05558534
fedavg,0.5,2,minority,0,0.084591135
fedavg,0.5,2,minority,1,0.12513591
fedavg,0.5,3,majority,0,0.072452836
fedavg,0.5,3,majority,1,0.053242967
fedavg,0.5,3,majority,2,0.060871016
fedavg,0.5,3,majority,3,0.014248547
fedavg,0.5,3,majority,4,0.07602229
fedavg,0.5,3,majority,5,0.052936587
fedavg,0.5,3,minority,0,0.07768505
fedavg,0.5,3,minority,1,0.124740034
fedavg,0.5,4,majority,0,0.048526302
fedavg,0.5,4,majority,1,0.074177176
fedavg,0.5,4,majority,2,0.07907281
fedavg,0.5,4,majority,3,0.09297701
fedavg,0.5,4,majority,4,0.0340959
fedavg,0.5,4,majority,5,0.15437801
fedavg,0.5,4,minority,0,0.06552127
fedavg,0.5,4,minority,1,0.069842584
fedavg,0.5,5,majority,0,0.056203693
fedavg,0.5,5,majority,1,0.080200255
fedavg,0.5,5,majority,2,0.049339883
fedavg,0.5,5,majority,3,0.055351205
fedavg,0.5,5,majority,4,0.064568326
fedavg,0.5,5,majority,5,0.06517941
fedavg,0.5,5,minority,0,0.055561267
fedavg,0.5,5,minority,1,0.09735587
fedavg,0.5,6,majority,0,0.10479374
fedavg,0.5,6,majority,1,0.055608805
fedavg,0.5,6,majority,2,0.08442388
fedavg,0.5,6,majority,3,0.119243145
fedavg,0.5,6,majority,4,0.02445178
fedavg,0.5,6,majority,5,0.052756187
fedavg,0.5,6,minority,0,0.13393801
fedavg,0.5,6,minority,1,0.07107534
fedavg,0.5,7,majority,0,0.062193617
fedavg,0.5,7,majority,1,0.046346188
fedavg,0.5,7,majority,2,0.05523377
fedavg,0.5,7,majority,3,0.12255412
fedavg,0.5,7,majority,4,0.05489599
fedavg,0.5,7,majority,5,0.046506856
fedavg,0.5,7,minority,0,0.06664409
fedavg,0.5,7,minority,1,0.09266371
fedavg,0.5,8,majority,0,0.057407763
fedavg,0.5,8,majority,1,0.048408043
fedavg,0.5,8,majority,2,0.091678195
fedavg,0.5,8,majority,3,0.08649098
fedavg,0.5,8,majority,4,0.12827343
fedavg,0.5,8,majority,5,0.10100772
fedavg,0.5,8,minority,0,0.11454009
fedavg,0.5,8,minority,1,0.121411346
fedavg,0.5,9,majority,0,0.046820186
fedavg,0.5,9,majority,1,0.013964932
fedavg,0.5,9,majority,2,0.09639473
fedavg,0.5,9,majority,3,0.0958817
fedavg,0.5,9,majority,4,0.017404614
fedavg,0.5,9,majority,5,0.0938963
fedavg,0.5,9,minority,0,0.06988881
fedavg,0.5,9,minority,1,0.088866085
fedavg,0.5,10,majority,0,0.048277475
fedavg,0.5,10,majority,1,0.09395163
fedavg,0.5,10,majority,2,0.11172913
fedavg,0.5,10,majority,3,0.07397986
fedavg,0.5,10,majority,4,0.07073163
fedavg,0.5,10,majority,5,0.09579938
fedavg,0.5,10,minority,0,0.059585687
fedavg,0.5,10,minority,1,0.10536134
fedavg,0.5,11,majority,0,0.08308533
fedavg,0.5,11,majority,1,0.07588381
fedavg,0.5,11,majority,2,0.076606646
fedavg,0.5,11,majority,3,0.09231984
fedavg,0.5,11,majority,4,0.07368969
fedavg,0.5,11,majority,5,0.043782853
fedavg,0.5,11,minority,0,0.10777364
fedavg,0.5,11,minority,1,0.08111788
fedavg,0.5,12,majority,0,0.080901675
fedavg,0.5,12,majority,1,0.1198547
fedavg,0.5,12,majority,2,0.043062583
fedavg,0.5,12,majority,3,0.05878234
fedavg,0.5,12,majority,4,0.10359216
fedavg,0.5,12,majority,5,0.06408314
fedavg,0.5,12,minority,0,0.035151985
fedavg,0.5,12,minority,1,0.017877191
fedavg,0.5,13,majority,0,0.046516772
fedavg,0.5,13,majority,1,0.015431235
fedavg,0.5,13,majority,2,0.07381647
fedavg,0.5,13,majority,3,0.05420538
fedavg,0.5,13,majority,4,0.093767166
fedavg,0.5,13,majority,5,0.076790616
fedavg,0.5,13,minority,0,0.10262401
fedavg,0.5,13,minority,1,0.087414615
fedavg,0.5,14,majority,0,0.027409695
fedavg,0.5,14,majority,1,0.11156396
fedavg,0.5,14,majority,2,0.045408063
fedavg,0.5,14,majority,3,0.07882756
fedavg,0.5,14,majority,4,0.08267494
fedavg,0.5,14,majority,5,0.05093104
fedavg,0.5,14,minority,0,0.11724705
fedavg,0.5,14,minority,1,0.11534854
fedavg,0.5,15,majority,0,0.046467982
fedavg,0.5,15,majority,1,0.030624438
fedavg,0.5,15,majority,2,0.10948432
fedavg,0.5,15,majority,3,0.13332114
fedavg,0.5,15,majority,4,0.10111429
fedavg,0.5,15,majority,5,0.052171472
fedavg,0.5,15,minority,0,0.057388242
fedavg,0.5,15,minority,1,0.13389067
fedavg,0.5,16,majority,0,0.11107964
fedavg,0.5,16,majority,1,0.09428506
fedavg,0.5,16,majority,2,0.06929954
fedavg,0.5,16,majority,3,0.051093403
fedavg,0.5,16,majority,4,0.13351305
fedavg,0.5,16,majority,5,0.043234352
fedavg,0.5,16,minority,0,0.12801704
fedavg,0.5,16,minority,1,0.10190099
fedavg,0.5,17,majority,0,0.037918586
fedavg,0.5,17,majority,1,0.09751889
fedavg,0.5,17,majority,2,0.08704839
fedavg,0.5,17,majority,3,0.093873955
fedavg,0.5,17,majority,4,0.057006363
fedavg,0.5,17,majority,5,0.08267137
fedavg,0.5,17,minority,0,0.081639424
fedavg,0.5,17,minority,1,0.035957675
fedavg,0.5,18,majority,0,0.0553788
fedavg,0.5,18,majority,1,0.061498698
fedavg,0.5,18,majority,2,0.096076414
fedavg,0.5,18,majority,3,0.05197654
