aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,clip_radius,seed,distance_from_true_value,asr
fedavg,persistent_sybil,4,9,1,3,0.2,1.0,3001,8.461591,0.09970003
fedavg,persistent_sybil,5,9,1,3,0.2,1.0,3001,8.449982,0.09956325
fedavg,persistent_sybil,6,9,1,3,0.2,1.0,3001,8.416168,0.099164836
fedavg,persistent_sybil,7,9,1,3,0.2,1.0,3001,8.388801,0.098842375
fedavg,persistent_sybil,8,9,1,3,0.2,1.0,3001,8.448019,0.09954012
fedavg,persistent_sybil,9,9,1,3,0.2,1.0,3001,8.605938,0.10140083
fedavg,persistent_sybil,10,9,1,3,0.2,1.0,3001,8.60386,0.10137634
fedavg,persistent_sybil,11,9,1,3,0.2,1.0,3001,8.350465,0.098390676
fedavg,persistent_sybil,12,9,1,3,0.2,1.0,3001,8.611935,0.10147148
fedavg,persistent_sybil,13,9,1,3,0.2,1.0,3001,8.428389,0.099308826
fedavg,persistent_sybil,14,9,1,3,0.2,1.0,3001,8.451771,0.099584326
fedavg,persistent_sybil,15,9,1,3,0.2,1.0,3001,8.410996,0.0991039
fedavg,persistent_sybil,16,9,1,3,0.2,1.0,3001,8.53945,0.100617416
fedavg,persistent_sybil,17,9,1,3,0.2,1.0,3001,8.739813,0.10297823
fedavg,persistent_sybil,18,9,1,3,0.2,1.0,3001,8.478769,0.09990244
fedavg,persistent_sybil,19,9,1,3,0.2,1.0,3001,8.61232,0.10147602
fedavg,persistent_sybil,0,9,1,3,0.2,1.0,4001,8.439473,0.09943943
fedavg,persistent_sybil,1,9,1,3,0.2,1.0,4001,8.502554,0.10018269
fedavg,persistent_sybil,2,9,1,3,0.2,1.0,4001,8.471152,0.099812694
fedavg,persistent_sybil,3,9,1,3,0.2,1.0,4001,8.497339,0.100121245
fedavg,persistent_sybil,4,9,1,3,0.2,1.0,4001,8.520823,0.10039794
fedavg,persistent_sybil,5,9,1,3,0.2,1.0,4001,8.595149,0.10127371
fedavg,persistent_sybil,6,9,1,3,0.2,1.0,4001,8.47863,0.099900804
fedavg,persistent_sybil,7,9,1,3,0.2,1.0,4001,8.540979,0.10063544
fedavg,persistent_sybil,8,9,1,3,0.2,1.0,4001,8.558237,0.10083878
fedavg,persistent_sybil,9,9,1,3,0.2,1.0,4001,8.529873,0.10050458
fedavg,persistent_sybil,10,9,1,3,0.2,1.0,4001,8.46923,0.09979004
fedavg,persistent_sybil,11,9,1,3,0.2,1.0,4001,8.461453,0.09969842
fedavg,persistent_sybil,12,9,1,3,0.2,1.0,4001,8.551932,0.1007645
fedavg,persistent_sybil,13,9,1,3,0.2,1.0,4001,8.614765,0.10150483
fedavg,persistent_sybil,14,9,1,3,0.2,1.0,4001,8.440022,0.0994459
fedavg,persistent_sybil,15,9,1,3,0.2,1.0,4001,8.428215,0.09930678
fedavg,persistent_sybil,16,9,1,3,0.2,1.0,4001,8.400697,0.09898254
fedavg,persistent_sybil,17,9,1,3,0.2,1.0,4001,8.4311075,0.099340856
fedavg,persistent_sybil,18,9,1,3,0.2,1.0,4001,8.550945,0.10075287
fedavg,persistent_sybil,19,9,1,3,0.2,1.0,4001,8.484703,0.09997236
dss_fedavg,persistent_sybil,0,9,1,3,0.2,1.0,1,8.50353,0.100194186
dss_fedavg,persistent_sybil,1,9,1,3,0.2,1.0,1,8.4246435,0.099264696
dss_fedavg,persistent_sybil,2,9,1,3,0.2,1.0,1,8.574983,0.101036094
dss_fedavg,persistent_sybil,3,9,1,3,0.2,1.0,1,8.600955,0.10134211
dss_fedavg,persistent_sybil,4,9,1,3,0.2,1.0,1,8.512517,0.10030008
dss_fedavg,persistent_sybil,5,9,1,3,0.2,1.0,1,8.622744,0.101598844
dss_fedavg,persistent_sybil,6,9,1,3,0.2,1.0,1,8.414796,0.09914867
dss_fedavg,persistent_sybil,7,9,1,3,0.2,1.0,1,8.407121,0.09905823
dss_fedavg,persistent_sybil,8,9,1,3,0.2,1.0,1,8.606114,0.10140291
dss_fedavg,persistent_sybil,9,9,1,3,0.2,1.0,1,8.380522,0.098744825
dss_fedavg,persistent_sybil,10,9,1,3,0.2,1.0,1,8.6906185,0.10239859
dss_fedavg,persistent_sybil,11,9,1,3,0.2,1.0,1,8.44657,0.09952305
dss_fedavg,persistent_sybil,12,9,1,3,0.2,1.0,1,8.461575,0.09969984
dss_fedavg,persistent_sybil,13,9,1,3,0.2,1.0,1,8.5852,0.10115648
dss_fedavg,persistent_sybil,14,9,1,3,0.2,1.0,1,8.689226,0.10238218
dss_fedavg,persistent_sybil,15,9,1,3,0.2,1.0,1,8.448624,0.099547245
dss_fedavg,persistent_sybil,16,9,1,3,0.2,1.0,1,8.491713,0.10005495
dss_fedavg,persistent_sybil,17,9,1,3,0.2,1.0,1,8.504127,0.10020122
dss_fedavg,persistent_sybil,18,9,1,3,0.2,1.0,1,8.562549,0.100889586
dss_fedavg,persistent_sybil,19,9,1,3,0.2,1.0,1,8.463579,0.09972346
dss_fedavg,persistent_sybil,0,9,1,3,0.2,1.0,1001,8.416716,0.09917129
